,m,ncoeff,n,sparsity,seed,maxscc,guess,timetear,mintear,timescc,minscc,timeguess,minguess
211,30,0.2,36,0.5,1,0.0,12,0.0020008087158203125,0.0,0.07604026794433594,0.0,0.07740402221679688,0.0
212,30,0.2,36,0.5,2,0.0,9,0.0019969940185546875,0.0,0.012437820434570312,0.0,0.07566070556640625,0.0
213,30,0.2,36,0.5,3,0.0,9,0.002002716064453125,0.0,0.00800323486328125,0.0,0.05464363098144531,0.0
214,30,0.2,36,0.5,4,4.0,11,0.013996124267578125,1.0,0.03362846374511719,0.0,0.05696868896484375,0.0
215,30,0.2,36,0.5,5,2.0,9,0.016008377075195312,1.0,0.021715164184570312,0.0,0.0611572265625,0.0
216,30,0.2,36,0.5,6,0.0,14,0.00299835205078125,0.0,0.046215057373046875,0.0,0.021425247192382812,0.0
217,30,0.2,36,0.5,7,3.0,16,0.015367507934570312,1.0,0.01471710205078125,0.0,0.1949176788330078,0.0
218,30,0.2,36,0.5,8,4.0,13,0.0163421630859375,1.0,0.009000778198242188,0.0,0.05612754821777344,0.0
219,30,0.2,36,0.5,9,9.0,11,0.01776885986328125,1.0,0.019001007080078125,0.0,0.057582855224609375,0.0
220,30,0.2,36,1.0,0,11.0,13,0.01324462890625,1.0,0.23004722595214844,0.0,0.31318092346191406,0.0
221,30,0.2,36,1.0,1,23.0,17,0.13267135620117188,4.0,1.4886150360107422,0.0,4.080226898193359,0.0
222,30,0.2,36,1.0,2,13.0,15,0.03264617919921875,4.0,0.1038970947265625,0.0,0.342437744140625,0.0
223,30,0.2,36,1.0,3,20.0,15,0.050952911376953125,2.0,1.6362800598144531,2.0,1.3872489929199219,1.0
224,30,0.2,36,1.0,4,19.0,17,0.09450531005859375,5.0,2.2044525146484375,0.0,2.556713104248047,0.0
225,30,0.2,36,1.0,5,20.0,15,0.04568672180175781,4.0,0.2511157989501953,0.0,0.3854084014892578,0.0
226,30,0.2,36,1.0,6,8.0,15,0.036525726318359375,4.0,31.870988845825195,10.0,4.356306076049805,1.0
227,30,0.2,36,1.0,7,21.0,17,0.805206298828125,3.0,100.03494453430176,999.0,7.085424423217773,1.0
228,30,0.2,36,1.0,8,16.0,16,0.027093887329101562,4.0,0.704803466796875,0.0,0.3047809600830078,0.0
